,train,val,test
54871,True,False,False
56194,True,False,False
56242,True,False,False
56350,True,False,False
72594,True,False,False
72940,True,False,False
73139,True,False,False
73693,True,False,False
74148,True,False,False
75567,True,False,False
76621,True,False,False
77770,True,False,False
78775,True,False,False
83994,True,False,False
84334,True,False,False
88506,True,False,False
90599,True,False,False
91576,True,False,False
91685,True,False,False
92761,True,False,False
96584,True,False,False
98373,True,False,False
102184,True,False,False
105144,True,False,False
106054,True,False,False
108217,True,False,False
112233,True,False,False
113638,True,False,False
114885,True,False,False
115692,True,False,False
116736,True,False,False
119072,True,False,False
120829,True,False,False
48777,True,False,False
49061,True,False,False
50181,True,False,False
52101,True,False,False
52493,True,False,False
52933,True,False,False
56431,True,False,False
59890,True,False,False
71666,True,False,False
72390,True,False,False
74567,True,False,False
77237,True,False,False
78668,True,False,False
79372,True,False,False
82128,True,False,False
82558,True,False,False
82752,True,False,False
83810,True,False,False
86505,True,False,False
86769,True,False,False
89525,True,False,False
89914,True,False,False
90672,True,False,False
91241,True,False,False
91356,True,False,False
91629,True,False,False
92004,True,False,False
93762,True,False,False
93966,True,False,False
94440,True,False,False
99498,True,False,False
106226,True,False,False
111813,True,False,False
113428,True,False,False
120464,True,False,False
121585,True,False,False
77438,False,True,False
97813,False,True,False
98951,False,True,False
62034,False,True,False
62804,False,True,False
93825,False,True,False
69995,False,True,False
103414,False,True,False
88907,False,True,False
60001,False,True,False
61535,False,True,False
112814,False,True,False
113034,False,True,False
116705,False,True,False
92063,False,True,False
84225,False,False,True
74089,False,False,True
109400,False,False,True
116630,False,False,True
90182,False,False,True
102282,False,False,True
86971,False,False,True
90160,False,False,True
75979,False,False,True
112837,False,False,True
117697,False,False,True
109978,False,False,True
82759,False,False,True
111323,False,False,True
89398,False,False,True
