,train,val,test
0,56194,56350.0,62034.0
1,56242,112837.0,75567.0
2,62804,88506.0,91576.0
3,69995,92761.0,93825.0
4,72594,114885.0,73693.0
5,72940,97813.0,102184.0
6,73139,54871.0,98373.0
7,74148,86971.0,74089.0
8,75979,90160.0,78775.0
9,76621,105144.0,60001.0
10,77438,112814.0,82759.0
11,77770,111323.0,89525.0
12,83994,59890.0,77237.0
13,84225,92063.0,109978.0
14,84334,49061.0,89398.0
15,88907,,
16,90182,,
17,90599,,
18,91685,,
19,96584,,
20,98951,,
21,102282,,
22,103414,,
23,106054,,
24,108217,,
25,109400,,
26,112233,,
27,113638,,
28,115692,,
29,116630,,
30,116736,,
31,119072,,
32,120829,,
33,48777,,
34,50181,,
35,52101,,
36,52493,,
37,52933,,
38,56431,,
39,61535,,
40,71666,,
41,72390,,
42,74567,,
43,78668,,
44,79372,,
45,82128,,
46,82558,,
47,82752,,
48,83810,,
49,86505,,
50,86769,,
51,89914,,
52,90672,,
53,91241,,
54,91356,,
55,91629,,
56,92004,,
57,93762,,
58,93966,,
59,94440,,
60,99498,,
61,106226,,
62,111813,,
63,113034,,
64,113428,,
65,116705,,
66,117697,,
67,120464,,
68,121585,,
