,train,val,test
0,54871,91685.0,77770.0
1,56350,56242.0,96584.0
2,60001,119072.0,90160.0
3,62034,93825.0,75567.0
4,62804,92761.0,74089.0
5,69995,113638.0,84334.0
6,72594,97813.0,56194.0
7,72940,103414.0,120829.0
8,73139,112837.0,86971.0
9,73693,78775.0,115692.0
10,74148,93762.0,72390.0
11,75979,89914.0,52101.0
12,76621,111813.0,91629.0
13,77438,52933.0,91356.0
14,83994,89525.0,113034.0
15,84225,,
16,88506,,
17,88907,,
18,90182,,
19,90599,,
20,91576,,
21,98373,,
22,98951,,
23,102184,,
24,102282,,
25,105144,,
26,106054,,
27,108217,,
28,109400,,
29,112233,,
30,114885,,
31,116630,,
32,116736,,
33,48777,,
34,49061,,
35,50181,,
36,52493,,
37,56431,,
38,59890,,
39,61535,,
40,71666,,
41,74567,,
42,77237,,
43,78668,,
44,79372,,
45,82128,,
46,82558,,
47,82752,,
48,82759,,
49,83810,,
50,86505,,
51,86769,,
52,89398,,
53,90672,,
54,91241,,
55,92004,,
56,92063,,
57,93966,,
58,94440,,
59,99498,,
60,106226,,
61,109978,,
62,111323,,
63,112814,,
64,113428,,
65,116705,,
66,117697,,
67,120464,,
68,121585,,
